Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,18339989960,211961319133
"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,19481591730,213788089212
"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,22194988641,213330426789
"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,23635107660,205023347814
"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,23875988832,210848822060
"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,16530894787,195907875403
"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,15352685061,193233960601
"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,17489094082,187791090996
"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,17165337858,185653203391
"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,16631520648,180028959603
"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,13829811132,171472452506
"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,13791445323,169880343827
"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,13738687093,170461958074
"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,16817809536,169099540423
"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,14495714483,176085968354
"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,15821952091,176806451137
"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,17398734322,175005760794
"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,17851916995,176572890702
"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,16334414913,184443440748
"Jul 21, 2019",10777.53,10841.89,10389.6,10599.11,17130580467,188987475962
"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,20206615155,191963691255
"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,20727426310,187725578628
"Jul 18, 2019",9698.5,10736.84,9376.8,10666.48,25187024648,190129918121
"Jul 17, 2019",9471.21,9963.13,9163.13,9693.8,24569921549,172777250515
"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,24151199070,168908640950
"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,25384047207,194147627475
"Jul 14, 2019",11381.02,11451.2,10234.58,10256.06,22486000001,182741933552
"Jul 13, 2019",11813.13,11841.96,10908.48,11392.38,21042616384,202968191001
"Jul 12, 2019",11354.3,11905.49,11179.14,11815.99,23534692797,210494417832
"Jul 11, 2019",12139.71,12144.62,11158.92,11358.66,28595327690,202324174692
